QualifiedApiName,DeveloperName,Description,DataType
pi__conversion_object_name__c,conversion_object_name,"This is the name of the object (form, form handler, landing page, or video form) that converted an anonymous visitor into a named prospect.",Text(255)
pi__comments__c,comments,,Long Text Area(32000)
pi__url__c,url,This link takes you directly into the relevant prospect's profile within Account Engagement. From there you can view his or her complete activity history. This URL is generated within the Account Engagement system and cannot be edited in Salesforce.com.,URL(255)
Subsidiary_Source__c,Subsidiary_Source,,Formula (Text)
pi__grade__c,grade,"The Account Engagement grade is based on how well a prospect fits your organization's ideal customer profile. Explicit factors such as company size, industry, job title and more help determine this value. A combination of grade (explicit) and score (implicit) can be used to very effectively optimize the sales team's time. Grade, like score, is calculated within the Account Engagement system and cannot be edited in Salesforce.com.",Text(10)
pi__utm_term__c,utm_term,,Text(255)
PVC__c,PVC,,Checkbox
pi__created_date__c,created_date,The Account Engagement created date represents the date and time at which the Prospect record was created in Account Engagement. This will often differ from your Salesforce.com created date.,Date/Time
pi__utm_content__c,utm_content,,Text(255)
NATURAL_RUBBER__c,NATURAL_RUBBER,,Checkbox
pi__notes__c,notes,,Long Text Area(32000)
PP__c,PP,,Checkbox
FIBRE_MEDIUM_GRADES__c,FIBRE_MEDIUM_GRADES,,Checkbox
Email_Opt_In__c,Email_Opt_In,,Checkbox
Id,Id,,Lookup()
IsDeleted,IsDeleted,,Checkbox
MasterRecordId,MasterRecord,,Lookup(Contact)
AccountId,Account,,Lookup(Account)
Name,Name,,Name
MailingAddress,MailingAddress,,Address
Phone,Phone,,Phone
Fax,Fax,,Phone
MobilePhone,MobilePhone,,Phone
ReportsToId,ReportsTo,,Lookup(Contact)
Email,Email,,Email
Title,Title,,Text(128)
Department,Department,,Text(80)
CurrencyIsoCode,CurrencyIsoCode,,Picklist
OwnerId,Owner,,Lookup(User)
HasOptedOutOfEmail,HasOptedOutOfEmail,,Checkbox
CreatedDate,CreatedDate,,Date/Time
CreatedById,CreatedBy,,Lookup(User)
LastModifiedDate,LastModifiedDate,,Date/Time
LastModifiedById,LastModifiedBy,,Lookup(User)
SystemModstamp,SystemModstamp,,Date/Time
LastActivityDate,LastActivityDate,,Date
LastCURequestDate,LastCURequestDate,,Date/Time
LastCUUpdateDate,LastCUUpdateDate,,Date/Time
LastViewedDate,LastViewedDate,,Date/Time
LastReferencedDate,LastReferencedDate,,Date/Time
UserRecordAccessId,UserRecordAccess,,Lookup(User Record Access)
EmailBouncedReason,EmailBouncedReason,,Text(255)
EmailBouncedDate,EmailBouncedDate,,Date/Time
IsEmailBounced,IsEmailBounced,,Checkbox
PhotoUrl,PhotoUrl,,URL(255)
Jigsaw,Jigsaw,,Text(20)
JigsawContactId,JigsawContact,,External Lookup
ActivityMetricId,ActivityMetric,,Lookup(Activity Metric)
ActivityMetricRollupId,ActivityMetricRollup,,Lookup(Activity Metric Rollup)
IsPriorityRecord,IsPriorityRecord,,Checkbox
ContactSource,ContactSource,,Picklist
TitleType,TitleType,,Picklist
DepartmentGroup,DepartmentGroup,,Picklist
BuyerAttributes,BuyerAttributes,,Picklist (Multi-Select)
